	Ensembl IDs
68	ENSG00000168928|ENST00000562387;ENST00000567767;ENST00000481611;ENST00000565656;ENST00000303037;ENST00000562106
69	ENSG00000128016|ENST00000594045;ENST00000594442;ENST00000597629;ENST00000600033
70	ENSG00000187527|ENST00000495496;ENST00000342358;ENST00000488957;ENST00000446087;ENST00000620313
71	ENSG00000137868|ENST00000563965;ENST00000574278;ENST00000323940;ENST00000574439;ENST00000545137;ENST00000573456;ENST00000535552;ENST00000432245;ENST00000416286;ENST00000573724;ENST00000395105;ENST00000449139;ENST00000616000;ENST00000572785;ENST00000574570;ENST00000573214;ENST00000569936;ENST00000423167;ENST00000575272;ENST00000572975;ENST00000571341;ENST00000573391
72	ENSG00000103056|ENST00000566466;ENST00000568373;ENST00000566723;ENST00000563226;ENST00000574662;ENST00000219334;ENST00000567223;ENST00000566009;ENST00000561749;ENST00000563396;ENST00000567811;ENST00000563455
73	ENSG00000089847|ENST00000597689;ENST00000262970;ENST00000318934;ENST00000600132;ENST00000595096;ENST00000595928
74	ENSG00000138684|ENST00000611104;ENST00000264497
75	ENSG00000170819|ENST00000302334;ENST00000510039;ENST00000503047;ENST00000511140;ENST00000511434;ENST00000513441
76	ENSG00000161896|ENST00000293756;ENST00000634274;ENST00000451316
77	ENSG00000170345|ENST00000556324;ENST00000535987;ENST00000303562;ENST00000554617;ENST00000557139;ENST00000554212;ENST00000555347;ENST00000555686;ENST00000555672;ENST00000555242
78	ENSG00000118971|ENST00000261254;ENST00000536537;ENST00000536795;ENST00000541542
79	ENSG00000137875|ENST00000260442;ENST00000561198
80	ENSG00000137745|ENST00000260302;ENST00000340273;ENST00000615555
81	ENSG00000235134|ENST00000493848;ENST00000460263;ENST00000464272;ENST00000496685;ENST00000497396;ENST00000436607;ENST00000448877;ENST00000489576;ENST00000462292;ENST00000494716
82	ENSG00000110900|ENST00000261177;ENST00000546076;ENST00000545802;ENST00000535215
83	ENSG00000087258|ENST00000640893;ENST00000563661;ENST00000262494;ENST00000638210;ENST00000262493;ENST00000639966;ENST00000640390;ENST00000639251;ENST00000639055;ENST00000565363;ENST00000564727;ENST00000639770;ENST00000638836;ENST00000640560;ENST00000638705;ENST00000638185;ENST00000639787;ENST00000639341;ENST00000564798;ENST00000639268;ENST00000563440;ENST00000570235;ENST00000569295;ENST00000640469;ENST00000562316;ENST00000568375
84	ENSG00000179388|ENST00000519492;ENST00000317216;ENST00000518773;ENST00000524088;ENST00000522910
85	ENSG00000186832|ENST00000301653;ENST00000593067;ENST00000588319;ENST00000590990
86	ENSG00000062038|ENST00000569036;ENST00000566808;ENST00000542274;ENST00000567674;ENST00000429102;ENST00000568292;ENST00000264012;ENST00000565453;ENST00000569117;ENST00000569080
87	ENSG00000180113|ENST00000450697;ENST00000544460;ENST00000316081
88	ENSG00000112394|ENST00000419619;ENST00000368850;ENST00000612036;ENST00000368851;ENST00000465319;ENST00000439288
89	ENSG00000262068|ENST00000580358;ENST00000571440
90	ENSG00000164106|ENST00000512188;ENST00000296506
91	ENSG00000204583|ENST00000376608;ENST00000545517;ENST00000544018;ENST00000622710;ENST00000536100;ENST00000616042
92	ENSG00000266524|ENST00000580279
93	ENSG00000186479|ENST00000505263;ENST00000334025;ENST00000508162
94	ENSG00000206072|ENST00000467649;ENST00000544088;ENST00000489748;ENST00000382749;ENST00000610304;ENST00000623262;ENST00000536691;ENST00000613567;ENST00000624518
95	ENSG00000005844|ENST00000358164;ENST00000356798;ENST00000433423;ENST00000564935;ENST00000565864;ENST00000569570;ENST00000568012;ENST00000562857;ENST00000568926;ENST00000566149;ENST00000564118;ENST00000568987;ENST00000564632;ENST00000566267;ENST00000563615;ENST00000569725;ENST00000562652;ENST00000565348;ENST00000562020
96	ENSG00000111057|ENST00000388837;ENST00000388835;ENST00000546656;ENST00000550600;ENST00000549078;ENST00000548496;ENST00000548015
97	ENSG00000141338|ENST00000586292;ENST00000430352;ENST00000586539;ENST00000589980;ENST00000541225;ENST00000269080;ENST00000589533;ENST00000587206;ENST00000585850;ENST00000615593;ENST00000428549;ENST00000588458;ENST00000585531;ENST00000591459;ENST00000590359
98	ENSG00000017427|ENST00000337514;ENST00000424202;ENST00000392905;ENST00000307046;ENST00000392904;ENST00000456098;ENST00000481539
99	ENSG00000135443|ENST00000552537;ENST00000544265;ENST00000257901
100	ENSG00000102678|ENST00000461657;ENST00000478546;ENST00000382353
101	ENSG00000064195|ENST00000434704;ENST00000512495
102	ENSG00000118308|ENST00000554942;ENST00000557489;ENST00000549437;ENST00000550945;ENST00000636465;ENST00000556485;ENST00000354454;ENST00000557270;ENST00000536173;ENST00000555885;ENST00000555165;ENST00000548766;ENST00000557472;ENST00000555141;ENST00000555877;ENST00000547044;ENST00000361433;ENST00000555194;ENST00000554272;ENST00000553398;ENST00000556887
103	ENSG00000183145|ENST00000329553;ENST00000485272;ENST00000490393
104	ENSG00000125538|ENST00000477398;ENST00000263341;ENST00000491056;ENST00000418817;ENST00000496280;ENST00000432018;ENST00000416750;ENST00000487639
105	ENSG00000163623|ENST00000295886;ENST00000515820
106	ENSG00000136250|ENST00000617537;ENST00000435386;ENST00000487014;ENST00000617267;ENST00000495942;ENST00000480201;ENST00000612871;ENST00000543742;ENST00000614254;ENST00000414637;ENST00000491444;ENST00000621510
107	ENSG00000196482|ENST00000361395;ENST00000493748;ENST00000408911;ENST00000463665;ENST00000471371;ENST00000493603;ENST00000481543;ENST00000359162;ENST00000361525;ENST00000366938;ENST00000366940;ENST00000616180;ENST00000487276;ENST00000469486;ENST00000475275;ENST00000477799;ENST00000391890;ENST00000366937;ENST00000459955;ENST00000459825;ENST00000469913;ENST00000586199;ENST00000488947;ENST00000360012
108	ENSG00000162772|ENST00000341491;ENST00000613104;ENST00000336937;ENST00000366985;ENST00000613954;ENST00000464547;ENST00000366981;ENST00000366983;ENST00000465155;ENST00000366987;ENST00000492118
109	ENSG00000205403|ENST00000394634;ENST00000504853;ENST00000512148;ENST00000394635;ENST00000515512;ENST00000510800;ENST00000618244
110	ENSG00000128482|ENST00000575165;ENST00000461366;ENST00000580109;ENST00000574149;ENST00000574782
111	ENSG00000139656|ENST00000400419;ENST00000617002
112	ENSG00000114315|ENST00000476918;ENST00000232424
113	ENSG00000141469|ENST00000590246;ENST00000586142;ENST00000436407;ENST00000402943;ENST00000415427;ENST00000588179;ENST00000619403;ENST00000591541;ENST00000589700;ENST00000502059;ENST00000590377;ENST00000586056;ENST00000535474;ENST00000586854;ENST00000321925;ENST00000591642;ENST00000587601;ENST00000589891;ENST00000591943;ENST00000586951;ENST00000589322
114	ENSG00000140557|ENST00000539113;ENST00000268164;ENST00000555434;ENST00000556382
115	ENSG00000047617|ENST00000327087;ENST00000356134;ENST00000546188;ENST00000545860;ENST00000544988;ENST00000542326;ENST00000612575;ENST00000536751;ENST00000541487;ENST00000541874;ENST00000538154;ENST00000540543
116	ENSG00000205359|ENST00000389019;ENST00000513675;ENST00000506729;ENST00000379807;ENST00000505407;ENST00000511588;ENST00000514551;ENST00000505739;ENST00000514765
117	ENSG00000162753|ENST00000367714;ENST00000476568;ENST00000466087;ENST00000479367
118	ENSG00000168209|ENST00000473155;ENST00000307365;ENST00000471240
119	ENSG00000162687|ENST00000451324;ENST00000610076;ENST00000367433;ENST00000294725;ENST00000609185;ENST00000498426;ENST00000466914
120	ENSG00000232414|ENST00000434026;ENST00000459819;ENST00000473538;ENST00000460626;ENST00000468340;ENST00000448478;ENST00000466302;ENST00000496557;ENST00000496471;ENST00000475619
121	ENSG00000122035|ENST00000475647;ENST00000241463;ENST00000480803
122	ENSG00000212901|ENST00000391588;ENST00000581033
123	ENSG00000102048|ENST00000380488;ENST00000470015;ENST00000473862;ENST00000477346;ENST00000380483;ENST00000484017;ENST00000380485;ENST00000481384;ENST00000546332
124	ENSG00000173227|ENST00000393946;ENST00000525149;ENST00000533427;ENST00000525457;ENST00000527043;ENST00000526281;ENST00000531392
125	ENSG00000162496|ENST00000616661;ENST00000430996;ENST00000482265;ENST00000464917
126	ENSG00000158106|ENST00000522899;ENST00000289013;ENST00000522335
127	ENSG00000105668|ENST00000617999;ENST00000379013;ENST00000222275;ENST00000616789
128	ENSG00000053328|ENST00000490043;ENST00000338882
129	ENSG00000263229|ENST00000573418
